"","hs_complete","taken_comp_classes","work_computer","computer_hours","income","job_satisfaction","retired_tech","computer_unemployment","computers_add_jobs","science_better","satisfaction_binomial","satisfaction_binom"
"26","Yes","No","No",0,35000,"Somewhat dissatisfied",NA,NA,"Somewhat agree","No opinion","Somewhat dissatisfied",0
"27","Yes","Yes","Yes",5,45000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"28","No","No","No",0,34000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"29","Yes","No","No",0,1000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"30","Yes","No","Yes",7,14000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"31","Yes","Yes","Yes",5,45000,"Strongly satisfied",NA,NA,"No opinion","Somewhat agree","Strongly satisfied",1
"32","No","No","No",0,0,"Somewhat satisfied",NA,NA,"No opinion","Somewhat agree","Somewhat satisfied",1
"33","Yes","No","No",0,0,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"34","Yes","Yes","No",0,40000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"35","Yes","No","Yes",15,40000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"36","Yes","No","Yes",35,15000,"Somewhat satisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat satisfied",1
"37","No","No","No",0,21000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat disagree","Strongly satisfied",1
"38","No","No","No",0,11000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat satisfied",1
"39","Yes","Yes","Yes",5,40000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"40","Yes","Yes","Yes",5,26000,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"41","Yes","No","No",0,29000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"42","No","No","No",0,11000,"Strongly satisfied",NA,"No","Somewhat agree","Somewhat agree","Strongly satisfied",1
"43","Yes","No","No",0,12000,"Somewhat satisfied",NA,"No","Strongly agree","Strongly agree","Somewhat satisfied",1
"44","Yes","No","Yes",15,20000,"Strongly satisfied",NA,NA,"Strongly disagree","No opinion","Strongly satisfied",1
"45","Yes","Yes","No",0,13000,"Somewhat satisfied",NA,"No","Somewhat disagree","Somewhat disagree","Somewhat satisfied",1
"46","Yes","No","Yes",10,55000,"Somewhat satisfied",NA,NA,"No opinion",NA,"Somewhat satisfied",1
"47","Yes","Yes","Yes",0,60000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"48","Yes","Yes","No",0,30000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"49","Yes","No","No",0,750,"Strongly satisfied",NA,NA,"No opinion","Strongly agree","Strongly satisfied",1
"50","No","Yes","Yes",38,22000,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat agree","Somewhat satisfied",1
"51","Yes","Yes","No",0,40000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"52","No","No","Yes",15,36000,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"53","Yes","Yes","Yes",17,48000,"Strongly satisfied",NA,NA,"Strongly agree","Somewhat agree","Strongly satisfied",1
"54","Yes","Yes","No",0,700,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"55","Yes","Yes","No",0,1000,"Strongly satisfied",NA,NA,"Somewhat agree","No opinion","Strongly satisfied",1
"56","Yes","No","No",0,32000,"Somewhat satisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat satisfied",1
"57","Yes","No","No",0,14500,"Somewhat satisfied",NA,NA,"Strongly disagree","No opinion","Somewhat satisfied",1
"58","Yes","Yes","Yes",20,37000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat satisfied",1
"59","Yes","No","No",0,60000,"Somewhat satisfied",NA,NA,"No opinion","Strongly agree","Somewhat satisfied",1
"60","Yes","Yes","Yes",5,43000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"61","Yes","No","No",0,5000,"Somewhat satisfied",NA,NA,"No opinion","No opinion","Somewhat satisfied",1
"62","Yes","No","Yes",40,20000,"Somewhat satisfied",NA,"No","Strongly agree","Strongly agree","Somewhat satisfied",1
"63","Yes","No","No",0,275,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"64","Yes","Yes","No",0,36000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"65","Yes","Yes","No",0,19000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"66","Yes","Yes","No",0,8000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"67","Yes","No","No",0,35000,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"68","Yes","Yes","No",0,43000,"Somewhat satisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat satisfied",1
"69","Yes","Yes","Yes",25,46000,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"70","Yes","Yes","No",0,24000,"Strongly dissatisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly dissatisfied",0
"71","Yes","No","No",0,23500,"Somewhat satisfied",NA,NA,"Strongly agree","Strongly agree","Somewhat satisfied",1
"72","Yes","Yes","Yes",10,60000,"Strongly satisfied",NA,NA,"Somewhat agree","No opinion","Strongly satisfied",1
"73","Yes","No","No",0,25000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"74","Yes","No","No",0,40000,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat disagree","Somewhat satisfied",1
"75","Yes","Yes","No",0,10000,"Somewhat satisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat satisfied",1
"76","Yes","No","No",0,35000,"Somewhat satisfied",NA,NA,"Strongly agree","Strongly agree","Somewhat satisfied",1
"77","Yes","No","No",0,25000,"Strongly satisfied","No",NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"78","Yes","No","No",0,22000,"Somewhat dissatisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat dissatisfied",0
"79","Yes","No","No",0,28000,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat agree","Somewhat satisfied",1
"80","Yes","No","Yes",3,20000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"81","Yes","No","No",0,36000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"82","Yes","No","No",0,40000,"Strongly satisfied",NA,NA,"Somewhat disagree","No opinion","Strongly satisfied",1
"83","Yes","No","No",0,700,"Strongly satisfied",NA,NA,"No opinion","Somewhat agree","Strongly satisfied",1
"84","Yes","No","Yes",2,41000,"Strongly satisfied",NA,NA,"Strongly agree","Somewhat agree","Strongly satisfied",1
"85","Yes","No","No",0,16200,"Strongly satisfied",NA,NA,"Strongly disagree","No opinion","Strongly satisfied",1
"86","Yes","No","No",0,15000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"87","No","No","No",0,22000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"88","Yes","No","No",0,42000,"Somewhat dissatisfied",NA,NA,"Somewhat disagree","Strongly disagree","Somewhat dissatisfied",0
"89","Yes","Yes","Yes",30,27000,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat agree","Somewhat satisfied",1
"90","Yes","No","No",0,30000,"Strongly satisfied",NA,NA,"No opinion","Somewhat agree","Strongly satisfied",1
"91","Yes","No","No",0,15000,"Strongly dissatisfied","No",NA,"Strongly disagree","Somewhat disagree","Strongly dissatisfied",0
"92","Yes","No","No",0,25000,"Strongly satisfied",NA,NA,"No opinion","Somewhat agree","Strongly satisfied",1
"93","Yes","No","No",0,10500,"Somewhat satisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat satisfied",1
"94","Yes","No","No",0,13000,"Strongly satisfied",NA,"No","Somewhat agree","Strongly agree","Strongly satisfied",1
"95","Yes","No","No",0,8000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat disagree","Somewhat satisfied",1
"96","Yes","No","No",0,8000,"Strongly satisfied",NA,NA,"No opinion","Somewhat agree","Strongly satisfied",1
"97","No","Yes","Yes",0,50000,"Somewhat satisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat satisfied",1
"98","Yes","Yes","Yes",2,12000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat satisfied",1
"99","No","No","No",0,60000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"100","Yes","No","No",0,60000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"101","Yes","No","No",0,9000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"102","Yes","Yes","No",0,55000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"103","Yes","No","No",0,3000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"104","Yes","No","No",0,20000,"Strongly satisfied","Yes",NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"105","Yes","Yes","No",0,43000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"106","Yes","No","No",0,34000,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat disagree","Somewhat satisfied",1
"107","No","No","No",0,9000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"108","Yes","No","No",0,9600,"Somewhat satisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat satisfied",1
"109","Yes","No","Yes",40,30000,"Somewhat satisfied",NA,NA,"Strongly agree","Strongly agree","Somewhat satisfied",1
"110","Yes","No","No",0,12500,"Somewhat dissatisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat dissatisfied",0
"111","Yes","No","No",0,12000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"112","Yes","No","No",0,19000,"Somewhat satisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat satisfied",1
"113","Yes","No","No",0,5913,"Strongly satisfied","No",NA,"Strongly disagree","No opinion","Strongly satisfied",1
"114","Yes","No","No",0,6000,"Somewhat satisfied",NA,NA,"No opinion","Strongly agree","Somewhat satisfied",1
"115","No","Yes","No",0,10000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"116","No","No","Yes",41,39000,"Strongly satisfied",NA,NA,"No opinion","Strongly agree","Strongly satisfied",1
"117","Yes","No","No",0,25000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"118","Yes","Yes","No",0,33000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"119","Yes","No","No",0,30000,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat agree","Somewhat satisfied",1
"120","Yes","No","Yes",12,60000,"Somewhat dissatisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat dissatisfied",0
"121","Yes","Yes","No",0,25000,"Somewhat satisfied","Not stated",NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"122","Yes","No","Yes",3,58000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"123","Yes","No","No",0,2500,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"124","Yes","No","No",0,0,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat disagree","Strongly satisfied",1
"125","Yes","No","Yes",4,44000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"126","Yes","No","No",0,24000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"127","Yes","No","No",0,35000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"128","Yes","Yes","Yes",38,35000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"129","Yes","Yes","Yes",25,16000,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"130","Yes","No","No",0,7000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"131","Yes","No","Yes",0,60000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"132","Yes","Yes","Yes",40,34000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"133","Yes","No","No",0,8500,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat disagree","Somewhat satisfied",1
"134","Yes","No","No",0,700,"Strongly satisfied","No",NA,"No opinion","No opinion","Strongly satisfied",1
"135","Yes","Yes","Yes",0,40000,"Somewhat satisfied",NA,"No","Somewhat agree","Strongly agree","Somewhat satisfied",1
"136","Yes","No","No",0,20000,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"137","Yes","Yes","Yes",20,30000,"Somewhat dissatisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat dissatisfied",0
"138","Yes","No","No",0,28000,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat agree","Somewhat satisfied",1
"139","Yes","Yes","Yes",4,50000,NA,NA,NA,"No opinion","No opinion","Not stated",NA
"140","Yes","Yes","No",0,22000,"Somewhat satisfied",NA,NA,"No opinion","No opinion","Somewhat satisfied",1
"141","Yes","No","Yes",1,55000,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"142","Yes","No","No",0,38000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat satisfied",1
"143","Yes","No","No",0,40000,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat agree","Somewhat satisfied",1
"144","Yes","Yes","Yes",8,22000,"Somewhat dissatisfied",NA,NA,"Strongly agree","Somewhat agree","Somewhat dissatisfied",0
"145","Yes","No","No",0,48000,"Strongly dissatisfied",NA,NA,"Strongly agree","No opinion","Strongly dissatisfied",0
"146","Yes","No","No",0,5000,"Somewhat satisfied",NA,NA,"No opinion","Somewhat disagree","Somewhat satisfied",1
"147","Yes","No","No",0,20000,"Strongly satisfied",NA,NA,"No opinion","Somewhat agree","Strongly satisfied",1
"148","Yes","Yes","No",0,4000,"Strongly satisfied",NA,NA,"No opinion","Strongly agree","Strongly satisfied",1
"149","No","No","No",0,18000,"Somewhat dissatisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat dissatisfied",0
"150","Yes","Yes","Yes",5,20000,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat agree","Somewhat satisfied",1
"151","No","No","No",0,25000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"152","No","No","No",0,60000,"Somewhat satisfied",NA,"Yes","Strongly agree","No opinion","Somewhat satisfied",1
"153","Yes","Yes","Yes",1,30000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"154","Yes","Yes","No",0,50000,"Strongly satisfied",NA,NA,"No opinion","Somewhat agree","Strongly satisfied",1
"155","Yes","No","No",0,20000,"Strongly satisfied","No",NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"156","Yes","No","No",0,60000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"157","Yes","Yes","Yes",25,14000,"Somewhat satisfied",NA,"No","No opinion","Somewhat agree","Somewhat satisfied",1
"158","Yes","No","Yes",10,22000,"Strongly satisfied",NA,NA,"Strongly agree","Somewhat agree","Strongly satisfied",1
"159","Yes","No","No",0,13500,"Strongly satisfied","No",NA,"No opinion","No opinion","Strongly satisfied",1
"160","No","No","No",0,40000,"Somewhat satisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat satisfied",1
"161","No","No","Yes",30,46000,"Somewhat satisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat satisfied",1
"162","No","No","No",0,27000,"Somewhat satisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat satisfied",1
"163","Yes","No","Yes",3,36000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"164","Yes","Yes","Yes",12,46000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"165","Yes","Yes","Yes",0,14000,"Somewhat satisfied",NA,NA,"Strongly agree","Strongly agree","Somewhat satisfied",1
"166","Yes","No","No",0,17000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"167","Yes","No","No",0,17000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat disagree","Strongly satisfied",1
"168","Yes","No","No",0,36000,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"169","Yes","Yes","Yes",16,35000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"170","Yes","Yes","Yes",10,22000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"171","Yes","No","No",0,40000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat disagree","Strongly satisfied",1
"172","No","Yes","Yes",10,23000,"Strongly dissatisfied",NA,NA,"Strongly agree","Somewhat agree","Strongly dissatisfied",0
"173","Yes","Yes","No",0,60000,"Somewhat satisfied",NA,NA,"No opinion","Strongly agree","Somewhat satisfied",1
"174","Yes","No","No",0,300,"Strongly satisfied",NA,NA,"No opinion","Somewhat agree","Strongly satisfied",1
"175","Yes","Yes","Yes",20,55000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"176","Yes","No","No",0,320,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"177","No","No","No",0,50000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"178","Yes","No","No",0,25000,"Strongly dissatisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly dissatisfied",0
"179","Yes","Yes","Yes",20,20000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"180","Yes","No","No",0,20000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"181","Yes","No","Yes",1,32000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"182","Yes","Yes","Yes",2,50000,"Somewhat dissatisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat dissatisfied",0
"183","Yes","No","No",0,9000,"Strongly satisfied","No",NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"184","No","No","No",0,15000,"Strongly satisfied",NA,"No","No opinion","Somewhat disagree","Strongly satisfied",1
"185","Yes","No","Yes",11,28000,"Somewhat satisfied",NA,NA,"Strongly agree","Strongly agree","Somewhat satisfied",1
"186","Yes","Yes","Yes",38,18000,"Somewhat satisfied",NA,NA,"Strongly agree","Strongly agree","Somewhat satisfied",1
"187","Yes","Yes","Yes",20,15000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"188","Yes","No","No",0,20000,"Somewhat satisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat satisfied",1
"189","Yes","No","No",0,5000,"Strongly satisfied","No",NA,"Strongly agree","Somewhat agree","Strongly satisfied",1
"190","Yes","No","No",0,35000,"Strongly dissatisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly dissatisfied",0
"191","Yes","No","Yes",10,40000,"Somewhat satisfied",NA,NA,"Strongly agree","Somewhat agree","Somewhat satisfied",1
"192","Yes","Yes","Yes",10,45000,"Somewhat dissatisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat dissatisfied",0
"193","Yes","No","Yes",4,25000,"Strongly satisfied",NA,NA,"Somewhat disagree","No opinion","Strongly satisfied",1
"194","Yes","No","Yes",8,40000,"Somewhat satisfied",NA,NA,"No opinion","Strongly agree","Somewhat satisfied",1
"195","Yes","No","Yes",1,30000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"196","Yes","No","No",0,45000,"Strongly satisfied",NA,NA,"Strongly agree","Somewhat agree","Strongly satisfied",1
"197","Yes","No","No",0,15000,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly disagree","Somewhat satisfied",1
"198","No","No","No",0,25000,"Somewhat satisfied",NA,NA,"Strongly disagree","Strongly disagree","Somewhat satisfied",1
"199","Yes","No","No",0,500,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"200","Yes","No","No",0,7000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"201","Yes","Yes","Yes",30,16000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"202","No","No","Yes",2,27000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat disagree","Strongly satisfied",1
"203","Yes","Yes","No",0,30000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"204","Yes","Yes","Yes",37,23000,"Somewhat satisfied",NA,NA,"Strongly agree","Somewhat agree","Somewhat satisfied",1
"205","Yes","Yes","No",0,15000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat satisfied",1
"206","Yes","Yes","Yes",1,30000,"Somewhat dissatisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat dissatisfied",0
"207","Yes","No","Yes",20,0,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat disagree","Strongly satisfied",1
"208","Yes","No","No",0,11000,"Somewhat satisfied","No",NA,"Somewhat disagree","Somewhat disagree","Somewhat satisfied",1
"209","Yes","Yes","No",0,10000,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"210","No","No","No",0,21000,"Strongly satisfied",NA,NA,NA,NA,"Strongly satisfied",1
"211","Yes","Yes","No",0,16000,"Somewhat satisfied",NA,"No","Somewhat agree","Somewhat agree","Somewhat satisfied",1
"212","Yes","No","No",0,45000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"213","Yes","No","No",0,9000,"Strongly satisfied","No",NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"214","No","No","No",0,1000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"215","Yes","No","No",0,18000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"216","No","No","No",0,25000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat satisfied",1
"217","Yes","No","No",0,20000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"218","Yes","No","No",0,1200,"Strongly satisfied",NA,NA,"Somewhat disagree","No opinion","Strongly satisfied",1
"219","Yes","Yes","Yes",25,25000,"Somewhat dissatisfied",NA,NA,"Strongly agree","Strongly agree","Somewhat dissatisfied",0
"220","No","No","No",0,32000,"Somewhat satisfied",NA,NA,"Strongly agree","Somewhat agree","Somewhat satisfied",1
"221","Yes","No","No",0,12000,"Strongly satisfied",NA,NA,"No opinion","Somewhat agree","Strongly satisfied",1
"222","Yes","No","No",0,30000,"Somewhat satisfied",NA,NA,"Strongly agree","Somewhat agree","Somewhat satisfied",1
"223","Yes","Yes","Yes",30,38000,"Strongly satisfied",NA,NA,"No opinion","No opinion","Strongly satisfied",1
"224","Yes","No","No",0,39000,"Somewhat satisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat satisfied",1
"225","Yes","No","No",0,14000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat disagree","Strongly satisfied",1
"226","No","No","No",0,14000,"Somewhat dissatisfied",NA,"No","Strongly disagree","No opinion","Somewhat dissatisfied",0
