eLife_ID,Count.number.of.answers,Collector.ID,Start_Date,End_Date,Time.to.complete,Time,Pace,Provided_Support,Not_ProvidedSupport,Why_NoSupport_NoResponsibility,Why_NoSupport_Invasive,Why_NoSupport_NoNeed,Why_NoSupport_Difficult,Why_NoSupport_Know,Why_NoSupport_Time,Why_NoSupport_SomeoneElse,Why_NoSupport_Qualified,Why_NoSupport_Timing,Why_NoSupport_OwnMH,Why_NoSupport_Politics,Why_NoSupport_Unsure,Why_NoSupport_PNTA,Why_NoSupport_Other,Supporter_CareerStage,Supporter_Officially,Supporter_MH,Supporter_NumberReceivers,Supporter_Country,Supporter_Country_Typos,Receiver_CareerStage,Receiver_CareerStage_Other,Receiver_MH_Perfectionism,Receiver_MH_BurnOut,Receiver_MH_Depression,Receiver_MH_LowSE,Receiver_MH_Anxiety,Receiver_MH_Sleep,Receiver_MH_Panic,Receiver_MH_Suicide,Receiver_MH_SelfHarm,Receiver_MH_Bereavement,Receiver_MH_Substance,Receiver_MH_Eating,Receiver_MH_ADHD,Receiver_MH_Bipolar,Receiver_MH_PTSD,Receiver_MH_Personality,Receiver_MH_Unsure,Receiver_MH_PNTA,Receiver_MH_Other,Receiver_MHCauses_Progress,Receiver_MHCauses_Workload,Receiver_MHCauses_Conflict,Receiver_MHCauses_Bullying,Receiver_MHCauses_Isolation,Receiver_MHCauses_Homesick,Receiver_MHCauses_Funding,Receiver_MHCauses_Admin,Receiver_MHCauses_Sexual,Receiver_MHCauses_Racism,Receiver_MHCauses_Physical,Receiver_MHCauses_MHInstitution,Receiver_MHCauses_NonMHInstitution,Receiver_MHCauses_NotAcademia,Receiver_MHCauses_NotSure,Receiver_MHCauses_PNTA,Receiver_MHCauses_Other,Receiver_MHCauses_Other_Dummy,Receiver_ProfessionalHelp,Receiver_Missing_Personal,Receiver_Missing_Peers,Receiver_Missing_Managers,Receiver_Missing_Institutions,Receiver_Missing_Pro,Receiver_Missing_OutPro,Receiver_Missing_Other,Lenght_Support,Supporter_Actions_OpenUp,Supporter_Actions_Resources,Supporter_Actions_HelpResources,Supporter_Actions_Emotional,Supporter_Actions_Advice,Supporter_Actions_Work,Supporter_Actions_Personal,Supporter_Actions_Crisis,Supporter_Actions_Adjustments,Supporter_Actions_Advocacy,Supporter_Actions_Unsure,Supporter_Actions_PNTA,Supporter_Actions_Other,Supporter_Regrets,Comfortable_withMH,Confident_withMH,Impact_Draining,Impact_Time,Impact_Work,Impact_Personal,Impact_Rewarding,Impact_PositiveDifference,Impact_Beacon,FiveWords,FiveWords_Recoded,Support_Institution,Support_Colleagues,Support_Personal,Support_Receiver,Support_Emotional_No,Support_Emotional_NoFind,Support_Emotional_Institution,Support_Emotional_Colleagues,Support_Emotional_Personal,Support_Emotional_Unsure,Support_Emotional_PNTA,Support_Emotional_Other,Support_Practical,Support_Practical_Other,Advice_Colleagues,Advice_Personal,Advice_Communities,Advice_Written,Advice_Training,Advice_Professionals,Advice_Other,Main_Barriers_NotAvailable,Main_Barriers_NoFind,Main_Barriers_Time,Main_Barriers_Financial,Main_Barriers_NotUseful,Main_Barriers_NoPb,Main_Barriers_Other,Advice_Needed,Advice_Useful,All_Age,All_Gender,All_Gender_Other,All_Minority_No,All_Minority_Ethnicity,All_Minority_Gender,All_Minority_Sex,All_Minority_Disability,All_Minority_SES,All_Minority_Unsure,All_Minority_PNTA,All_Minority_Other,Minority_NoGender_Recoded,All_CurrentRole,All_CurrentRole_Other,All_ResearchField,All_ResearchField_Other,All_Competitiveness,All_ResearchCulture,All_MH,All_UnderstandingMH,Consent_Share,All_Comments,Receiver_CareerStage_clean,Why_NoSupport_Other_Dummy,Why_NoSupport_Answered_Sum,Why_NoSupport_Answered_YN,Receiver_MH_Other_Dummy,Receiver_MH_Answered_Sum,Receiver_MH_Answered_YN,Receiver_Missing_Other_Dummy,Receiver_Missing_Answered_Sum,Receiver_Missing_Answered_YN,Supporter_Actions_Other_Dummy,Supporter_Actions_Answered_Sum,Supporter_Actions_Answered_YN,Support_Emotional_Other_Dummy,Support_Emotional_Answered_Sum,Support_Emotional_Answered_YN,Support_Practical_Other_Dummy,Support_Practical_Answered_Sum,Support_Practical_Answered_YN,Advice_Colleagues_Other_Dummy,Advice_Colleagues_Other,Main_Barriers_Other_Dummy,Main_Barriers_Answered_Sum,Main_Barriers_Answered_YN,All_Gender_Other_Dummy,All_Gender_Answered_Sum,All_Gender_Answered_YN,All_Minority_Other_Dummy,All_Minority_Answered_Sum,All_Minority_Answered_YN,All_CurrentRole_Other_Dummy,All_CurrentRole_Answered_Sum,All_CurrentRole_Answered_YN,All_ResearchField_Other_Dummy,All_ResearchField_Answered_Sum,All_ResearchField_Answered_YN,Supporter_CareerStage_clean,All_Gender_clean,All_CurrentRole_clean
395,63,248048341,17/11/19 23:31,17/11/19 23:44,00:13:16,796,12.63,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Na,3,1,2,2,Germany,Germany,3,Also Family members and partner,1,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,,,1,NA,NA,1,NA,NA,NA,,3,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,,,5,5,5,4,4,4,3,4,3,"Stressful, energy draining, supportive, understanding, emotional",Stressful energy-draining supportive understanding emotional,1,1,1,5,NA,1,NA,NA,NA,NA,NA,,3,,1,1,1,1,1,1,,NA,NA,1,NA,NA,NA,,Time off,Internet,2,3,,1,NA,NA,NA,NA,NA,NA,NA,,1,4,,5,,5,4,5,5,2,,3,1,1,1,0,5,1,0,1,1,0,5,1,0,1,1,0,3,1,NA,NA,0,1,1,0,3,1,0,1,1,0,4,1,0,5,1,3,3,4
396,53,247890590,17/11/19 21:45,17/11/19 21:56,00:11:07,667,12.58,3,3,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,,3,1,2,2,Argentina,Argentina,3,,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,,,1,1,NA,1,NA,NA,NA,,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,5,3,4,2,3,4,5,3,6,,,1,1,6,4,NA,1,NA,NA,NA,NA,NA,,3,,3,2,4,4,2,2,,NA,NA,NA,1,NA,NA,,,,2,3,,1,NA,NA,NA,NA,NA,NA,NA,,1,4,,6,,4,5,5,5,2,,3,0,2,1,0,3,1,0,2,1,0,2,1,0,1,1,0,3,1,NA,NA,0,1,1,0,3,1,0,1,1,0,4,1,0,6,1,3,3,4
397,77,247890590,17/11/19 21:06,17/11/19 21:15,00:09:10,550,7.14,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,3,1,2,2,India,India,3,,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,,,2,1,1,1,1,1,NA,,5,1,1,1,1,1,1,1,1,NA,1,NA,NA,,,5,3,4,3,2,4,5,4,5,Relieving. Wish someone had done the same for me.,Relieving. Wish someone had done the same for me.,1,1,4,5,NA,NA,NA,NA,1,NA,NA,,3,,1,3,4,3,3,3,,1,1,NA,1,1,NA,,,,2,3,,NA,NA,1,NA,NA,1,NA,NA,,2,3,,18,,5,5,5,5,2,,3,0,0,0,0,5,1,0,5,1,0,9,1,0,1,1,0,3,1,NA,NA,0,4,1,0,3,1,0,2,1,0,3,1,0,18,1,3,3,3
398,62,247890590,17/11/19 20:59,17/11/19 21:08,00:09:07,547,8.82,4,3,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,,3,1,2,2,Turkey,Turkey,2,,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,5,NA,NA,1,1,1,NA,,5,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,,,5,4,4,4,3,2,4,5,5,Taxing and rewarding at the same time,Taxing and rewarding at the same time,4,5,5,5,NA,NA,NA,NA,1,NA,NA,,3,,1,4,4,4,2,2,,1,1,NA,NA,NA,NA,,,,3,3,,NA,1,1,NA,NA,NA,NA,NA,,2,6,,18,,2,1,5,5,2,,2,0,2,1,0,3,1,0,3,1,0,7,1,0,1,1,0,3,1,NA,NA,0,2,1,0,3,1,0,2,1,0,6,1,0,18,1,3,3,6
399,16,247890590,17/11/19 20:58,17/11/19 21:11,00:12:52,772,48.25,1,3,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,2,3,,NA,1,NA,NA,NA,NA,NA,NA,,2,3,,18,,4,3,5,4,2,,NA,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,3,1,0,1,1,0,3,1,0,18,1,NA,3,3
400,62,247890590,17/11/19 20:46,17/11/19 20:54,00:08:22,502,8.1,3,3,NA,1,NA,1,NA,1,NA,1,1,1,1,NA,NA,,3,1,2,2,[REDACTED FOR CONFIDENTIALITY],[REDACTED FOR CONFIDENTIALITY],3,,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,,,2,NA,NA,1,NA,NA,NA,,5,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,,[REDACTED FOR CONFIDENTIALITY],4,4,5,5,4,4,4,5,3,[REDACTED FOR CONFIDENTIALITY],[REDACTED FOR CONFIDENTIALITY],1,2,4,5,NA,1,NA,NA,NA,NA,NA,,3,,2,4,4,3,3,2,,NA,NA,1,1,1,NA,,[REDACTED FOR CONFIDENTIALITY],[REDACTED FOR CONFIDENTIALITY],2,3,,1,NA,NA,NA,NA,NA,NA,NA,,1,3,,0,[REDACTED FOR CONFIDENTIALITY],4,4,5,5,1,,3,0,7,1,0,3,1,0,1,1,0,4,1,0,1,1,0,3,1,NA,NA,0,3,1,0,3,1,0,1,1,0,3,1,1,1,1,3,3,3
401,13,247890590,17/11/19 20:41,17/11/19 20:45,00:04:03,243,18.69,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,1,3,,NA,NA,1,NA,NA,1,NA,NA,,2,3,,5,,5,4,5,5,1,[REDACTED FOR CONFIDENTIALITY],NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,3,1,0,2,1,0,3,1,0,5,1,NA,3,3
402,54,247890590,17/11/19 20:29,17/11/19 20:43,00:14:35,875,16.2,3,3,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,,4,1,2,2,Australia,Australia,4,,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Precarity of employment,1,5,NA,NA,NA,NA,1,NA,,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,4,3,5,4,4,4,2,3,4,"Depressing, frustrating, irritating, tiring",Depressing frustrating irritating tiring,1,1,3,3,NA,1,NA,NA,NA,NA,NA,,3,,5,5,1,1,2,2,,NA,NA,1,1,NA,NA,,To be able to refer the person to free professional help,,3,4,,NA,1,NA,NA,NA,NA,NA,NA,,2,9,,18,,5,4,5,4,2,"Often it's not one person or event that creates the trigger for mental health issues, but the overall culture of academia. We're constantly being compared to others, comparing ourselves to others. We are being asked to jump through all manner of hoops to justify our existence. Add to this the bravado of some academics who seem to get a kick out of criticising others unconstructively and that's basically a whole toxic cesspool right there. I actually enjoy my job- I like teaching and I love my research, but I cannot picture a long term Future in academia because I worry it will end in serious depression and possible self-harm.",4,0,3,1,0,2,1,0,1,1,0,3,1,0,1,1,0,3,1,NA,NA,0,2,1,0,4,1,0,1,1,0,9,1,0,18,1,4,4,9
403,46,247890590,17/11/19 20:21,17/11/19 20:28,00:06:13,373,8.11,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,,2,1,2,1,UK,UK,1,,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1,1,NA,NA,NA,NA,NA,,5,1,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,,,4,2,5,4,4,5,4,5,2,,,6,6,4,4,NA,NA,NA,NA,1,NA,NA,,2,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,2,3,,NA,NA,NA,1,NA,NA,NA,NA,,2,2,,0,Anthropology,4,1,5,4,2,,1,0,2,1,0,2,1,0,1,1,0,5,1,0,1,1,0,2,1,NA,NA,0,0,0,0,3,1,0,1,1,0,2,1,1,1,1,2,3,2
404,51,247890590,17/11/19 20:02,17/11/19 20:11,00:08:56,536,10.51,3,3,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,,3,1,2,2,,,3,,1,1,1,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"imposter syndrome, feelings of never doing enough or failing",1,5,NA,NA,NA,1,1,1,Options are limited to get the support needed and there are long waiting lists,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,4,3,3,3,3,3,4,3,3,,,3,3,4,3,NA,NA,NA,NA,1,NA,NA,,1,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,2,3,,NA,NA,NA,NA,NA,NA,NA,1,,3,3,,10,,4,3,5,4,2,,3,0,3,1,0,6,1,1,4,1,0,1,1,0,1,1,0,1,1,NA,NA,0,0,0,0,3,1,0,1,1,0,3,1,0,10,1,3,3,3
405,12,247890590,17/11/19 19:59,17/11/19 20:03,00:03:31,211,17.58,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,3,3,,1,NA,NA,NA,NA,NA,NA,NA,,1,3,,12,,4,3,5,5,2,,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,3,1,0,1,1,0,3,1,0,12,1,NA,3,3
406,12,247890590,17/11/19 19:08,17/11/19 19:10,00:02:15,135,11.25,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,3,1,,1,NA,NA,NA,NA,NA,NA,NA,,1,8,,5,,3,2,5,4,1,,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,1,1,0,1,1,0,8,1,0,5,1,NA,1,8
407,58,247890590,17/11/19 15:18,17/11/19 15:34,00:15:57,957,16.5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,4,1,2,1,United Kingdom,UK,4,,1,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,,,2,1,NA,1,NA,1,NA,,5,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,,,5,4,2,1,1,1,5,4,2,,,3,4,4,5,1,NA,NA,NA,NA,NA,NA,,4,,2,2,4,5,2,2,,NA,NA,1,NA,NA,NA,,I needed information the most,,2,1,,NA,NA,NA,1,NA,NA,NA,NA,,2,4,,5,,5,2,4,4,2,"I think mental health issues in Academia needs to be taken more seriously and paid attention to. Researchers and academicians at all levels must be given sufficient awareness of the problem we are all facing together and trained to be more compassionate towards one another, more accepting and kind.",4,0,0,0,0,5,1,0,3,1,0,4,1,0,0,0,0,4,1,NA,NA,0,1,1,0,1,1,0,1,1,0,4,1,0,5,1,4,1,4
408,53,247890590,17/11/19 14:53,17/11/19 15:03,00:10:05,605,11.42,3,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8,2,1,1,uk,UK,4,,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1,NA,1,NA,NA,NA,NA,,1,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,,,5,4,3,2,2,4,5,5,5,difficult rewarding informative insightful,difficult rewarding informative insightful,3,4,4,5,1,NA,NA,NA,NA,NA,NA,,3,,4,1,1,4,4,1,,NA,NA,NA,NA,NA,1,,,mental health first wider training course,5,3,,1,NA,NA,NA,NA,NA,NA,NA,,1,8,,5,,5,2,3,4,2,mental health first aider course is very useful,4,0,1,1,0,3,1,0,1,1,0,4,1,0,0,0,0,3,1,NA,NA,0,1,1,0,3,1,0,1,1,0,8,1,0,5,1,8,3,8
409,56,247890590,17/11/19 12:08,17/11/19 12:17,00:08:40,520,9.29,3,3,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,,8,1,3,2,Uk,UK,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,,,4,NA,NA,1,NA,1,NA,,5,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,,,4,5,5,5,4,4,3,4,5,,,1,4,4,5,NA,NA,NA,NA,1,NA,NA,,3,,1,4,1,2,2,2,My institution made clear that they just wanted to make the cases go away,1,NA,NA,NA,NA,NA,,,,4,4,,NA,NA,NA,NA,NA,NA,NA,NA,Nationality,2,8,,NA,,4,3,4,4,2,My home institution values its reputation above anything else and hence will always try to hide anything that could be harm the reputation - at all costs and with no regards to the people involved,3,0,3,1,0,1,1,0,2,1,0,3,1,0,1,1,0,3,1,NA,NA,0,1,1,0,4,1,1,1,1,0,8,1,0,0,0,8,4,8
410,46,247890590,17/11/19 03:20,17/11/19 03:33,00:12:23,743,16.15,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,3,1,2,2,United States,USA,3,,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,,,2,NA,1,NA,NA,1,NA,,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,,,4,4,5,4,1,4,4,4,2,"Tiring, important, intense, familiar, ongoing",Tiring important intense familiar ongoing,1,3,1,5,NA,NA,NA,NA,NA,1,NA,,1,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,4,3,,1,NA,NA,NA,NA,NA,NA,NA,,1,3,,10,,4,1,4,4,2,More should be done to help. We should at least talk about it.,3,0,0,0,0,2,1,0,2,1,0,3,1,0,1,1,0,1,1,NA,NA,0,0,0,0,3,1,0,1,1,0,3,1,0,10,1,3,3,3
411,53,247890590,17/11/19 03:14,17/11/19 03:19,00:05:01,301,5.68,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,3,1,2,2,USA,USA,3,,1,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,,1,1,1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,,,1,NA,NA,1,NA,1,1,,5,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,,,5,4,4,4,3,4,5,5,3,,,2,4,4,5,NA,NA,NA,1,1,NA,NA,,2,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,3,3,,NA,NA,NA,NA,1,NA,NA,NA,,2,3,,18,,3,3,4,3,2,,3,0,0,0,0,5,1,0,3,1,0,2,1,0,2,1,0,2,1,NA,NA,0,0,0,0,3,1,0,1,1,0,3,1,0,18,1,3,3,3
412,59,248048473,17/11/19 02:27,17/11/19 02:47,00:19:32,1172,19.86,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2,1,3,2,USA,USA,NA,A resident physician,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,3,NA,NA,1,NA,NA,1,,5,1,1,NA,1,1,NA,1,1,NA,NA,NA,NA,,,4,3,5,5,4,5,4,4,4,,,2,3,2,4,NA,NA,NA,1,1,NA,NA,,3,,2,1,1,4,2,2,,NA,1,1,NA,1,NA,,,,3,3,,NA,NA,NA,NA,NA,1,NA,NA,,2,0,Resident physician,12,,4,3,4,4,2,,NA,0,0,0,0,4,1,0,2,1,0,6,1,0,2,1,0,3,1,NA,NA,0,3,1,0,3,1,0,1,1,1,1,1,0,12,1,2,3,0
413,52,247890590,16/11/19 20:21,16/11/19 20:31,00:10:08,608,11.69,4,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,,8,3,1,2,,,5,Several different roles multiple people,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,2,NA,NA,NA,NA,NA,1,,3,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,,,4,4,4,5,4,3,4,4,5,People seek me out for help,People seek me out for help,3,3,2,2,1,NA,NA,NA,NA,NA,NA,,0,I was trained to help students at my Uni n use it for staff too,1,1,1,4,4,4,I did have 6 weeks of good training as a young a ademic on helping students in difficulty. I use it every year over 30 yrs of work.,NA,NA,NA,NA,NA,1,,Time from all my other jobs piling up,Listening and responding to students in difficulty training course,5,3,,1,NA,NA,NA,NA,NA,NA,NA,,1,8,,NA,,5,4,2,4,2,,5,0,1,1,0,3,1,0,1,1,0,4,1,0,0,0,1,1,1,NA,NA,0,1,1,0,3,1,0,1,1,0,8,1,0,0,0,8,3,8
414,49,248537955,16/11/19 19:51,16/11/19 20:02,00:11:37,697,14.22,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,3,1,3,2,,,2,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,1,,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,,,4,5,4,2,4,4,5,5,3,"Stressful, duty, hope",Stressful duty hope,4,4,6,5,NA,NA,NA,1,NA,NA,NA,,3,,4,3,1,1,2,3,,NA,NA,NA,1,NA,NA,,,,2,3,,1,NA,NA,NA,NA,NA,NA,NA,,1,3,,12,,5,4,4,4,2,,2,0,1,1,0,1,1,0,1,1,0,2,1,0,1,1,0,3,1,NA,NA,0,1,1,0,3,1,0,1,1,0,3,1,0,12,1,3,3,3
415,50,247890590,16/11/19 12:29,16/11/19 12:44,00:15:03,903,18.06,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6,1,2,2,USA,USA,4,This person was bipolar,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Combination of factors this person mental illness was further increased by burnout during Her Phd in the same institution,1,3,1,NA,NA,NA,NA,NA,,3,1,1,1,1,NA,1,NA,1,1,NA,NA,NA,,Would have enforced the person took time off [REDACTED FOR CONFIDENTIALITY] the person join my lab already burnout without adequate mental health professional support and if I would have know from the beginning I would have probably not given this person too many projects since failure exacerbated things,4,4,5,5,4,5,5,5,3,Rewarding learning stressful hope accomplishment,Rewarding learning stressful hope accomplishment,3,2,5,3,NA,1,NA,NA,NA,NA,NA,,3,,4,4,4,4,2,2,,NA,NA,1,NA,NA,NA,,How to handle the emotional swings which were sometimes even angry,Consulting with a former therapist,4,3,,NA,1,NA,NA,NA,NA,NA,NA,,2,6,,5,,2,1,5,4,2,We all struggle at some point it's important to look for help to have a network of support,4,0,0,0,0,1,1,0,1,1,0,7,1,0,1,1,0,3,1,NA,NA,0,1,1,0,3,1,0,1,1,0,6,1,0,5,1,6,3,6
