Question number,New Question Label,Question,Type of question,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Q09,Receiver_CareerStage,The person I supported was:,Forced choice + Other,Other,An undergraduate student,A Masters student (research or taught Masters),A PhD student,A postdoctoral researcher (postdoc),"A technician, research assistant, lab manager, field coordinator or other lab staff",An independent researcher or a group leader (less than 5 years’ experience),An independent researcher or a group leader (5 to 10 years’ experience),An independent researcher or a group leader (10 or more years’ experience),Prefer not to answer,Prefer not to answer,Academic Admin Staff (RECODED),Other academic staff (research and teaching) (RECODED),,,,,,,
Q9-Other,Receiver_CareerStage_Other,#NAME?,,,,,,,,,,,,,,,,,,,,,
Q9r4,Receiver_CareerStage_clean,Column with recoded answers,,,,,,,,,,,,,,,,,,,,,
Q10,,"To be the best of my knowledge, the person I was supporting was struggling with (select all that applies):",Select Multiple,Other (please specify),Perfectionism,Burn out,Low mood or (if diagnosed by a professional) depression,Low self-esteem,Anxiety or (if diagnosed by a professional) generalized anxiety disorder,Sleep problems,Panic attacks,Suicidal thoughts,Self harm,Bereavement,Substance abuse (alcohol/drugs),Disordered eating or (if diagnosed by a professional) eating disorders,ADHD or ADD (diagnosed by a professional),Bipolar disorder (diagnosed by a professional),Post-traumatic stress disorder (diagnosed by a professional),A personality disorder (diagnosed by a professional),I am not sure,Prefer not to answer,
Q10-Choice1,Receiver_MH_Perfectionism,Perfectionism,,,,,,,,,,,,,,,,,,,,,
Q10-Choice2,Receiver_MH_BurnOut,Burn out,,,,,,,,,,,,,,,,,,,,,
Q10-Choice3,Receiver_MH_Depression,Low mood or (if diagnosed by a professional) depression,,,,,,,,,,,,,,,,,,,,,
Q10-Choice4,Receiver_MH_LowSE,Low self-esteem,,,,,,,,,,,,,,,,,,,,,
Q10-Choice5,Receiver_MH_Anxiety,Anxiety or (if diagnosed by a professional) generalized anxiety,,,,,,,,,,,,,,,,,,,,,
Q10-Choice6,Receiver_MH_Sleep,Sleep problems,,,,,,,,,,,,,,,,,,,,,
Q10-Choice7,Receiver_MH_Panic,Panic attacks,,,,,,,,,,,,,,,,,,,,,
Q10-Choice8,Receiver_MH_Suicide,Suicidal thoughts,,,,,,,,,,,,,,,,,,,,,
Q10-Choice9,Receiver_MH_SelfHarm,Self harm,,,,,,,,,,,,,,,,,,,,,
Q10-Choice10,Receiver_MH_Bereavement,Bereavement,,,,,,,,,,,,,,,,,,,,,
Q10-Choice11,Receiver_MH_Substance,Substance abuse (alcohol/drugs),,,,,,,,,,,,,,,,,,,,,
Q10-Choice12,Receiver_MH_Eating,Disordered eating or (if diagnosed by a professional) eating disorder,,,,,,,,,,,,,,,,,,,,,
Q10-Choice13,Receiver_MH_ADHD,ADHD or ADD (diagnosed by a professional),,,,,,,,,,,,,,,,,,,,,
Q10-Choice14,Receiver_MH_Bipolar,Bipolar disorder (diagnosed by a professional),,,,,,,,,,,,,,,,,,,,,
Q10-Choice15,Receiver_MH_PTSD,Post-traumatic stress disorder (diagnosed by a professional),,,,,,,,,,,,,,,,,,,,,
Q10-Choice16,Receiver_MH_Personality,A personality disorder (diagnosed by a professional),,,,,,,,,,,,,,,,,,,,,
Q10-Choice17,Receiver_MH_Unsure,I am not sure,,,,,,,,,,,,,,,,,,,,,
Q10-Choice18,Receiver_MH_PNTA,Prefer not to answer,,,,,,,,,,,,,,,,,,,,,
Q10-Choice19,Receiver_MH_Other,Other (please specify),,,,,,,,,,,,,,,,,,,,,
Q10r1,Receiver_MH_Other_Dummy,"Recodes the free text in the ""other category"" so the code can count it",,,,,,,,,,,,,,,,,,,,,
Q10r2,Receiver_MH_Answered_Sum,How many answers people gave,,,,,,,,,,,,,,,,,,,,,
Q10r3,Receiver_MH_Answered_YN,Whether a given participant answered the question at all,,,,,,,,,,,,,,,,,,,,,
Q11,,I believe the following factor(s) played a role in the person's struggles (select all that applies):,Select Multiple,Other (please specify),"Issues with work progress (e.g. failed experiments, problem with fieldwork etc.)",Issues with workload,Conflict or difficult relationship with supervisors,Bullying or harassment in the research place,Isolation or loneliness,Culture shock or homesickness,Problems with funding or stipend,"Administrative or logistical problems (e.g. visa, accommodation)",Sexual assault or sexual harassment in the research place,Discrimination or racism in the research place,Poor physical health that interfered with their work,Lack of support from the institution for health conditions or disabilities not related to mental health,Lack of support from the institution for mental health conditions or disabilities,I don't believe the person's problems were related to or influenced by their research role,I am not sure,Prefer not to answer,,,
Q11-Choice1,Receiver_MHCauses_Progress,"Issues with work progress (e.g. failed experiments, problem with fieldwork etc.)",,,,,,,,,,,,,,,,,,,,,
Q11-Choice2,Receiver_MHCauses_Workload,Issues with workload,,,,,,,,,,,,,,,,,,,,,
Q11-Choice3,Receiver_MHCauses_Conflict,Conflict or difficult relationship with supervisors,,,,,,,,,,,,,,,,,,,,,
Q11-Choice4,Receiver_MHCauses_Bullying,Bullying or harassment in the research place,,,,,,,,,,,,,,,,,,,,,
Q11-Choice5,Receiver_MHCauses_Isolation,Isolation or loneliness,,,,,,,,,,,,,,,,,,,,,
Q11-Choice6,Receiver_MHCauses_Homesick,Culture shock or homesickness,,,,,,,,,,,,,,,,,,,,,
Q11-Choice7,Receiver_MHCauses_Funding,Problems with funding or stipend,,,,,,,,,,,,,,,,,,,,,
Q11-Choice8,Receiver_MHCauses_Admin,"Administrative or logistical problems (e.g. visa, accommodation)",,,,,,,,,,,,,,,,,,,,,
Q11-Choice9,Receiver_MHCauses_Sexual,Sexual assault or sexual harassment in the research place,,,,,,,,,,,,,,,,,,,,,
Q11-Choice10,Receiver_MHCauses_Racism,Discrimination or racism in the research place,,,,,,,,,,,,,,,,,,,,,
Q11-Choice11,Receiver_MHCauses_Physical,Poor physical health that interfered with their work,,,,,,,,,,,,,,,,,,,,,
Q11-Choice12,Receiver_MHCauses_MHInstitution,Lack of support from the institution for health conditions or disabilities not related to mental health,,,,,,,,,,,,,,,,,,,,,
Q11-Choice13,Receiver_MHCauses_NonMHInstitution,Lack of support from the institution for mental health conditions or disabilities,,,,,,,,,,,,,,,,,,,,,
Q11-Choice14,Receiver_MHCauses_NotAcademia,I don't believe the person's problems were related to or influenced by their research role,,,,,,,,,,,,,,,,,,,,,
Q11-Choice15,Receiver_MHCauses_NotSure,I am not sure,,,,,,,,,,,,,,,,,,,,,
Q11-Choice16,Receiver_MHCauses_PNTA,Prefer not to answer,,,,,,,,,,,,,,,,,,,,,
Q11-Choice17,Receiver_MHCauses_Other,Other (please specify),,,,,,,,,,,,,,,,,,,,,
Q11r1,Receiver_MHCauses_Other_Dummy,"Recodes the free text in the ""other category"" so the code can count it [NOTE: manually recoded]",,,,,,,,,,,,,,,,,,,,,
Q12,Receiver_ProfessionalHelp,"During the time I was supporting them, the person received at least some professional help:",Forced choice,,No,"Yes, it had started before I began to support them","Yes, it had started after I began to support them","Yes, but I am not sure when they started to receive it",I am not sure,Prefer not to answer,,,,,,,,,,,,,
Q13,,What type of support do you think was most lacking or insufficient for the person you supported?,Select Multiple,,,,,,,,,,,,,,,,,,,,
Q13-Choice1,Receiver_Missing_Personal,Support from friends and family outside of academia,,,,,,,,,,,,,,,,,,,,,
Q13-Choice2,Receiver_Missing_Peers,Support from peers and colleagues,,,,,,,,,,,,,,,,,,,,,
Q13-Choice3,Receiver_Missing_Managers,Support from supervisors and managers,,,,,,,,,,,,,,,,,,,,,
Q13-Choice4,Receiver_Missing_Institutions,"Institutional measures (e.g. extensions, intermission)",,,,,,,,,,,,,,,,,,,,,
Q13-Choice5,Receiver_Missing_Pro,Support from mental health professionals within the institution,,,,,,,,,,,,,,,,,,,,,
Q13-Choice6,Receiver_Missing_OutPro,Support from health professionals outside of the institution,,,,,,,,,,,,,,,,,,,,,
Q13-Choice7,Receiver_Missing_Other,Other,,,,,,,,,,,,,,,,,,,,,
Q13r1,Receiver_Missing_Other_Dummy,"Recodes the free text in the ""other category"" so the code can count it",,,,,,,,,,,,,,,,,,,,,
Q13r2,Receiver_Missing_Answered_Sum,How many answers people gave,,,,,,,,,,,,,,,,,,,,,
Q13r3,Receiver_Missing_Answered_YN,Whether a given participant answered the question at all,,,,,,,,,,,,,,,,,,,,,
Q14,Lenght_Support,My support lasted:,Forced Choice,,Less than six months,Between six months and a year,Over a year,"I am still supporting them, and started less than six months ago","I am still supporting them, and started more than six months ago",I am not sure,Prefer not to answer,,,,,,,,,,,,
Q15,,When supporting the person (select all that applies),Select Multiple,,,,,,,,,,,,,,,,,,,,
Q15-Choice1,Supporter_Actions_OpenUp,I suspected they were struggling and actively helped them open up,,,,,,,,,,,,,,,,,,,,,
Q15-Choice2,Supporter_Actions_Resources,I suggested resources they could access to get help,,,,,,,,,,,,,,,,,,,,,
Q15-Choice3,Supporter_Actions_HelpResources,I actively helped them get access to resources (e.g. assisted them with making appointments),,,,,,,,,,,,,,,,,,,,,
Q15-Choice4,Supporter_Actions_Emotional,"I provided emotional support, online and/or in person (e.g. listened to them, try to reassure them etc.)",,,,,,,,,,,,,,,,,,,,,
Q15-Choice5,Supporter_Actions_Advice,"I gave them practical advice on how to manage their mental health (e.g. discussed medication, helped them establish healthy routines etc.)",,,,,,,,,,,,,,,,,,,,,
Q15-Choice6,Supporter_Actions_Work,"I provided additional practical help with work (e.g. helped them conduct experiments or write, took on some of their work)",,,,,,,,,,,,,,,,,,,,,
Q15-Choice7,Supporter_Actions_Personal,I provided practical help in their personal life (e.g. helped them sort out visa or accommodation issues),,,,,,,,,,,,,,,,,,,,,
Q15-Choice8,Supporter_Actions_Crisis,"I was present with them during an intense moment of crisis (e.g. panic attack, self harm)",,,,,,,,,,,,,,,,,,,,,
Q15-Choice9,Supporter_Actions_Adjustments,"I made alternative work arrangements for them (e.g. allowed them to go on leave, extended deadlines)",,,,,,,,,,,,,,,,,,,,,
Q15-Choice10,Supporter_Actions_Advocacy,I advocated for the person within my institution,,,,,,,,,,,,,,,,,,,,,
Q15-Choice11,Supporter_Actions_Unsure,I am not sure,,,,,,,,,,,,,,,,,,,,,
Q15-Choice12,Supporter_Actions_PNTA,Prefer not to answer,,,,,,,,,,,,,,,,,,,,,
Q15-Choice13,Supporter_Actions_Other,Other (please specify),,,,,,,,,,,,,,,,,,,,,
Q15r1,Supporter_Actions_Other_Dummy,"Recodes the free text in the ""other category"" so the code can count it",,,,,,,,,,,,,,,,,,,,,
Q15r2,Supporter_Actions_Answered_Sum,How many answers people gave,,,,,,,,,,,,,,,,,,,,,
Q15r3,Supporter_Actions_Answered_YN,Whether a given participant answered the question at all,,,,,,,,,,,,,,,,,,,,,
Q16,Supporter_Regrets,Optional: Please share if there were anything you wish you could have done but did not get to do,,,,,,,,,,,,,,,,,,,,,
Q17a,Comfortable_withMH,I was comfortable discussing mental health problems,Five-level Likert scale,,Strongly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Strongly agree,Not applicable/Prefer not to answer,,,,,,,,,,,,,
Q17b,Confident_withMH,I was confident in my ability to do or say the right thing,Five-level Likert scale,,Strongly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Strongly agree,Not applicable/Prefer not to answer,,,,,,,,,,,,,
Q17c,Impact_Draining,The experience was emotionally draining or stressful,Five-level Likert scale,,Strongly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Strongly agree,Not applicable/Prefer not to answer,,,,,,,,,,,,,
Q17d,Impact_Time,The experience took a lot of my time,Five-level Likert scale,,Strongly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Strongly agree,Not applicable/Prefer not to answer,,,,,,,,,,,,,
Q17e,Impact_Work,The experience negatively impacted my academic work,Five-level Likert scale,,Strongly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Strongly agree,Not applicable/Prefer not to answer,,,,,,,,,,,,,
Q17f,Impact_Personal,The experience had an impact on my personal life (e.g. you were thinking about it outside of work),Five-level Likert scale,,Strongly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Strongly agree,Not applicable/Prefer not to answer,,,,,,,,,,,,,
Q18a,Impact_Rewarding,Being in a supporting role was personally rewarding,Five-level Likert scale,,Strongly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Strongly agree,Not applicable/Prefer not to answer,,,,,,,,,,,,,
Q18b,Impact_PositiveDifference,I made a positive difference in someone's life,Five-level Likert scale,,Strongly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Strongly agree,Not applicable/Prefer not to answer,,,,,,,,,,,,,
Q18c,Impact_Beacon,Other people came to me for help because they knew I was providing support,Five-level Likert scale,,Strongly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Strongly agree,Not applicable/Prefer not to answer,,,,,,,,,,,,,
Q19,FiveWords,Please list up to five words to describe your experience,Open,,,,,,,,,,,,,,,,,,,,
Q20a,Support_Institution,"I felt supported or valued by my institution (e.g. managers, department) for the help I was providing",Five-level Likert scale,,Strongly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Strongly agree,Not applicable/Prefer not to answer,,,,,,,,,,,,,
Q20b,Support_Colleagues,I felt supported or valued by my colleagues (e.g. other members of the lab) for the help I was providing,Five-level Likert scale,,Strongly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Strongly agree,Not applicable/Prefer not to answer,,,,,,,,,,,,,
Q20c,Support_Personal,"I felt supported or valued by my friends, partners and family outside of academia for the help I was providing",Five-level Likert scale,,Strongly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Strongly agree,Not applicable/Prefer not to answer,,,,,,,,,,,,,
Q20d,Support_Receiver,I felt valued by the person I was helping,Five-level Likert scale,,Strongly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Strongly agree,Not applicable/Prefer not to answer,,,,,,,,,,,,,
Q21,,I needed emotional support (ie to be able to talk to someone about my feelings) related to my supporting role (select all that applies):,Select Multiple,,,,,,,,,,,,,,,,,,,,
Q21-Choice1,Support_Emotional_No,"No, I did not need emotional support",,,,,,,,,,,,,,,,,,,,,
Q21-Choice2,Support_Emotional_NoFind,"Yes, but I didn’t find it",,,,,,,,,,,,,,,,,,,,,
Q21-Choice3,Support_Emotional_Institution,"Yes, and it was offered by institutional resources",,,,,,,,,,,,,,,,,,,,,
Q21-Choice4,Support_Emotional_Colleagues,"Yes, and I found it with my peers and colleagues",,,,,,,,,,,,,,,,,,,,,
Q21-Choice5,Support_Emotional_Personal,"Yes, and I found it with my friends, partners and family outside of academia",,,,,,,,,,,,,,,,,,,,,
Q21-Choice6,Support_Emotional_Unsure,I am not sure,,,,,,,,,,,,,,,,,,,,,
Q21-Choice7,Support_Emotional_PNTA,Prefer not answer,,,,,,,,,,,,,,,,,,,,,
Q21-Choice8,Support_Emotional_Other,Other (please specify),,,,,,,,,,,,,,,,,,,,,
Q21r1,Support_Emotional_Other_Dummy,"Recodes the free text in the ""other category"" so the code can count it",,,,,,,,,,,,,,,,,,,,,
Q21r2,Support_Emotional_Answered_Sum,How many answers people gave,,,,,,,,,,,,,,,,,,,,,
Q21r3,Support_Emotional_Answered_YN,Whether a given participant answered the question at all,,,,,,,,,,,,,,,,,,,,,
Q22,Support_Practical,"I needed practical information (e.g. advice, guidelines, training...) to help me in my supporting role:",Forced choice + Other,Other (please specify),"No, I did not need information","No, I had already received information before","Yes, I needed information",I am not sure,Prefer not to answer,,,,,,,,,,,,,,
Q22-Other,Support_Practical_Other,#NAME?,,,,,,,,,,,,,,,,,,,,,
Q22r1,Support_Practical_Other_Dummy,"Recodes the free text in the ""other category"" so the code can count it",,,,,,,,,,,,,,,,,,,,,
Q22r2,Support_Practical_Answered_Sum,How many answers people gave,,,,,,,,,,,,,,,,,,,,,
Q22r3,Support_Practical_Answered_YN,Whether a given participant answered the question at all,,,,,,,,,,,,,,,,,,,,,
Q23,,My experience with the following resources to help me in my supporting role:,Forced choice,,Not needed,"Needed, but not accessed",Accessed with difficulty,Accessed easily,I am not sure,Prefer not to answer,,,,,,,,,,,,,
Q23a,Advice_Colleagues,Advice from colleagues,,,,,,,,,,,,,,,,,,,,,
Q23b,Advice_Personal,"Advice from friends, partners and family outside of academia",,,,,,,,,,,,,,,,,,,,,
Q23c,Advice_Communities,"Advice from online scientific communities (Twitter, Facebook groups..)",,,,,,,,,,,,,,,,,,,,,
Q23d,Advice_Written,"Written resources (leaflets, guidelines)",,,,,,,,,,,,,,,,,,,,,
Q23e,Advice_Training,"Specific mental health training (workshops, courses)",,,,,,,,,,,,,,,,,,,,,
Q23f,Advice_Professionals,Specific advice from professionals,,,,,,,,,,,,,,,,,,,,,
Q23f,Advice_Other,#NAME?,,,,,,,,,,,,,,,,,,,,,
Q23r1,Advice_Colleagues_Other_Dummy,,,,,,,,,,,,,,,,,,,,,,
Q23r2,Advice_Colleagues_Other,,,,,,,,,,,,,,,,,,,,,,
Q24,,The main barriers to accessing the resources I needed were (select all that applies):,Select multiple,,,,,,,,,,,,,,,,,,,,
Q24-Choice1,Main_Barriers_NotAvailable,They were not available,,,,,,,,,,,,,,,,,,,,,
Q24-Choice2,Main_Barriers_NoFind,They were difficult to find,,,,,,,,,,,,,,,,,,,,,
Q24-Choice3,Main_Barriers_Time,I did not have the time to find or access them,,,,,,,,,,,,,,,,,,,,,
Q24-Choice4,Main_Barriers_Financial,I did not have the financial resources to find or access them,,,,,,,,,,,,,,,,,,,,,
Q24-Choice5,Main_Barriers_NotUseful,The resources I accessed were not useful,,,,,,,,,,,,,,,,,,,,,
Q24-Choice6,Main_Barriers_NoPb,I did not experience any barriers,,,,,,,,,,,,,,,,,,,,,
Q24-Choice7,Main_Barriers_Other,Other (please specify),,,,,,,,,,,,,,,,,,,,,
Q24r1,Main_Barriers_Other_Dummy,"Recodes the free text in the ""other category"" so the code can count it",,,,,,,,,,,,,,,,,,,,,
Q24r2,Main_Barriers_Answered_Sum,How many answers people gave,,,,,,,,,,,,,,,,,,,,,
Q24r3,Main_Barriers_Answered_YN,Whether a given participant answered the question at all,,,,,,,,,,,,,,,,,,,,,
Q24-Answered,Main_Barriers_NotAvailable_Answered_YN,Whether a given participant answered Q24 at all,,,,,,,,,,,,,,,,,,,,,
Q25,Advice_Needed,Optional: What did you most need support or information with during your experience?,Open,,,,,,,,,,,,,,,,,,,,
Q26,Advice_Useful,Optional: Which resource(s) did you find the most useful?,Open,,,,,,,,,,,,,,,,,,,,
Q27,All_Age,Your age,Forced choice,,,,,,,,,,,,,,,,,,,,
Q28,All_Gender,With which gender do you most identify?,Forced choice + Other,,Man,Non-Binary/Genderfluid,Woman,Prefer not to answer,Prefer to specify:,,,,,,,,,,,,,,
Q28-Other,All_Gender_Other,#NAME?,,,,,,,,,,,,,,,,,,,,,
Q28r1,All_Gender_Other_Dummy,"Recodes the free text in the ""other category"" so the code can count it",,,,,,,,,,,,,,,,,,,,,
Q28r2,All_Gender_Answered_Sum,How many answers people gave,,,,,,,,,,,,,,,,,,,,,
Q28r3,All_Gender_Answered_YN,Whether a given participant answered the question at all,,,,,,,,,,,,,,,,,,,,,
Q28r4,All_Gender_clean,,,,,,,,,,,,,,,,,,,,,,
Q29,,Do you identify as a member of an underrepresented community or minority (select all that applies)?,Select multiple,,,,,,,,,,,,,,,,,,,,
Q29-Choice1,All_Minority_No,No,,,,,,,,,,,,,,,,,,,,,
Q29-Choice2,All_Minority_Ethnicity,"Yes, because of my ethnicity",,,,,,,,,,,,,,,,,,,,,
Q29-Choice3,All_Minority_Gender,"Yes, because of my gender identity or gender expression",,,,,,,,,,,,,,,,,,,,,
Q29-Choice4,All_Minority_Sex,"Yes, because of my sexual orientation",,,,,,,,,,,,,,,,,,,,,
Q29-Choice5,All_Minority_Disability,"Yes, because of my disability status",,,,,,,,,,,,,,,,,,,,,
Q29-Choice6,All_Minority_SES,"Yes, because of my socio-economic background",,,,,,,,,,,,,,,,,,,,,
Q29-Choice7,All_Minority_Unsure,I am not sure,,,,,,,,,,,,,,,,,,,,,
Q29-Choice8,All_Minority_PNTA,Prefer not to answer,,,,,,,,,,,,,,,,,,,,,
Q29-Choice9,All_Minority_Other,#NAME?,,,,,,,,,,,,,,,,,,,,,
Q29-MinorityStatus,Minority_NoGender_Recoded,Are participants member of a minority group (except for gender),,,No,Yes,PNTA/Not sure,,,,,,,,,,,,,,,,
Q29r1,All_Minority_Other_Dummy,,,,,,,,,,,,,,,,,,,,,,
Q29r2,All_Minority_Answered_Sum,,,,,,,,,,,,,,,,,,,,,,
Q29r3,All_Minority_Answered_YN,,,,,,,,,,,,,,,,,,,,,,
Q30,All_CurrentRole,Your current role,Forced choice + other,Other (please specify),An undergraduate student,A Masters' student (research or taught Masters),A PhD student,A postdoctoral researcher (postdoc),"A technician, research assistant, lab manager, field coordinator or other lab staff",A group leader (less than 5 years’ experience),A group leader (5 to 10 years’ experience),A group leader (10 or more years’ experience),A doctoral-level staff scientist,A non-academic staff member in contact with people doing research (e.g. university admin staff),Not in academia,Prefer not to answer,Academic Admin Staff (RECODED),Other academic staff (research and teaching) (RECODED),,,,,
Q30-Other,All_CurrentRole_Other,#NAME?,,,,,,,,,,,,,,,,,,,,,
Q30r1,All_CurrentRole_Other_Dummy,"Recodes the free text in the ""other category"" so the code can count it",,,,,,,,,,,,,,,,,,,,,
Q30r2,All_CurrentRole_Answered_Sum,How many answers people gave,,,,,,,,,,,,,,,,,,,,,
Q30r3,All_CurrentRole_Answered_YN,Whether a given participant answered the question at all,,,,,,,,,,,,,,,,,,,,,
Q30r4,All_CurrentRole_clean,Column with recoded answers,,,,,,,,,,,,,,,,,,,,,
Q30-Answered,All_CurrentRole_Answered_YN,Whether a given participant answered Q30 at all,,,,,,,,,,,,,,,,,,,,,
Q31,All_ResearchField,If applicable: your research field,Forced choice + other,,,,,,,,,,,,,,,,,,,,
Q31-Other,All_ResearchField_Other,#NAME?,,,,,,,,,,,,,,,,,,,,,
Q31r1,All_ResearchField_Other_Dummy,"Recodes the free text in the ""other category"" so the code can count it",,,,,,,,,,,,,,,,,,,,,
Q31r2,All_ResearchField_Answered_Sum,How many answers people gave,,,,,,,,,,,,,,,,,,,,,
Q31r3,All_ResearchField_Answered_YN,Whether a given participant answered the question at all,,,,,,,,,,,,,,,,,,,,,
Q32a,All_Competitiveness,My research environment is very competitive,Five-level Likert scale,,Strongly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Strongly agree,Not applicable/Prefer not to answer,,,,,,,,,,,,,
Q32b,All_ResearchCulture,There is a toxic research culture in my research environment,Five-level Likert scale,,Strongly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Strongly agree,Not applicable/Prefer not to answer,,,,,,,,,,,,,
Q32c,All_MH,I have gone through times in my life when my mental health was poor,Five-level Likert scale,,Strongly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Strongly agree,Not applicable/Prefer not to answer,,,,,,,,,,,,,
Q32d,All_UnderstandingMH,I have a good understanding of mental health issues,Five-level Likert scale,,Strongly disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Strongly agree,Not applicable/Prefer not to answer,,,,,,,,,,,,,
Q33,Consent_Share,Would you consent to your answers to open questions being quoted anonymously in articles or reports that summarize the results of this survey? Please note that that any information you may have provided in these answers that could help to identify yourself or others will be deleted by the research team.§,,,No,Yes,,,,,,,,,,,,,,,,,
Q34,All_Comments,Optional: Please share with us any thoughts or remarks you have regarding supporting people in academia who struggle with their mental health,Open,,,,,,,,,,,,,,,,,,,,
Respondent ID,Respondent_ID,Automatic Survey Monkey ID,,,,,,,,,,,,,,,,,,,,,
,eLife_ID,Assigned ID,,,,,,,,,,,,,,,,,,,,,
